Player,Season,TeamID,TeamName,FirstName,LastName,AdditionalName,Rk,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Harrison Hawkins,2015,1101,Abilene Chr,Harrison,Hawkins,,1,31,18,23.9,4.6,10.5,0.43799999999999994,2.7,5.4,0.506,1.8,5.0,0.365,1.9,2.5,0.789,0.3,0.8,1.2,1.5,0.8,0.1,2.3,2.6,12.9
Parker Wentz,2015,1101,Abilene Chr,Parker,Wentz,,2,31,31,28.8,3.5,8.5,0.42,1.5,3.7,0.42100000000000004,2.0,4.8,0.419,2.6,3.0,0.851,0.3,1.8,2.0,1.4,1.5,0.1,1.5,2.1,11.7
LaDarrien Williams,2015,1101,Abilene Chr,LaDarrien,Williams,,3,31,14,24.1,3.5,8.9,0.39899999999999997,2.5,5.9,0.426,1.0,3.0,0.344,1.7,2.0,0.8390000000000001,1.0,3.4,4.4,2.0,0.9,0.1,2.1,2.3,9.8
Austin Cooke,2015,1101,Abilene Chr,Austin,Cooke,,4,31,31,29.1,3.3,7.5,0.442,1.6,3.5,0.455,1.7,4.0,0.431,1.3,1.7,0.7879999999999999,1.5,4.6,6.0,0.9,0.5,0.1,1.3,2.8,9.7
Christian Albright,2015,1101,Abilene Chr,Christian,Albright,,5,20,11,13.5,1.8,4.2,0.429,1.8,4.1,0.439,0.0,0.1,0.0,0.6,0.9,0.647,1.1,2.2,3.3,1.0,0.3,0.5,1.3,1.9,4.2
Duran Porter,2015,1101,Abilene Chr,Duran,Porter,,6,31,3,13.5,1.7,3.4,0.5,1.7,3.4,0.5,0.0,0.0,,0.6,1.3,0.5,0.9,1.4,2.3,0.3,0.2,0.4,0.9,2.4,4.0
Jalen Little,2015,1101,Abilene Chr,Jalen,Little,,7,31,30,25.9,0.9,3.1,0.281,0.5,1.9,0.259,0.4,1.2,0.316,0.8,1.1,0.7879999999999999,0.2,1.9,2.1,3.6,0.9,0.0,1.6,2.0,3.0
Riley Payne,2015,1101,Abilene Chr,Riley,Payne,,8,30,17,14.6,1.1,2.4,0.45799999999999996,1.1,2.4,0.45799999999999996,0.0,0.0,,0.4,0.9,0.39299999999999996,0.9,0.9,1.8,0.3,0.1,0.0,0.4,2.2,2.6
Drake Green,2015,1101,Abilene Chr,Drake,Green,,9,28,0,8.7,0.9,2.8,0.316,0.8,2.2,0.344,0.1,0.6,0.222,0.3,0.6,0.563,0.1,0.6,0.8,0.5,0.3,0.1,0.5,1.0,2.3
Isaiah Tripp,2015,1101,Abilene Chr,Isaiah,Tripp,,10,29,0,7.2,0.8,1.8,0.442,0.6,1.4,0.429,0.2,0.3,0.5,0.5,0.9,0.6,0.4,0.7,1.1,0.4,0.2,0.0,0.3,1.1,2.3
